Very Good his mrp is 57 rupees good i bought in 54 rupees good product....than others
Terrific very nice quality
Must buy! wonderful.... Best product...
Awesome nice
Brilliant This is a ideal product for which it's made.
Very Good good
Wonderful very good product
Very Good good
Excellent nice very nice
Great product good quality.... got genuine product
Super! Very good
Super! Very nice
Really Nice nice product
Perfect product! nice
Terrific purchase nice product
Not recommended at all Average quality and Rate is high.
Really Nice very nice
Classy product excellent product
Nice good
Worth every penny super
Delightful material is good
Fabulous! super
Brilliant Very Important Tools.
Absolute rubbish! Quality not good for rough use
Does the job Good quality product
Wonderful taparia is the best.
Mind-blowing purchase very good
Worth every penny nice
Must buy! thanks
Fabulous! Good quality nice product
Terrific purchase goodone
Awesome Super
Nice Not bad
Fabulous! product are awsomeQuilty good
Brilliant very good.original taparia product
Awesome super
Pretty good Good
Fabulous! best product best quality
Excellent Product Very good Quality ItemVery Fast delivery Flipkart
Moderate worst product... I got for 49/-...product has  issue's.
Delightful best quality only 49 rupess
Good ok
Best in the market! very happy to have this unique product
Worth every penny Happy with the price and quality of the product.
Highly recommended nice
Simply awesome very very good prodact...
Excellent Nice one
Classy product ok
Mind-blowing purchase very very good product
Simply awesome very good product.. I am from assam..
Terrific good product
Moderate prise high
Must buy! Fantastic quality
Pretty good perfect
Terrific purchase awesome tools
Delightful good and  worthful
Classy product good
Great product wery wery NAIC product
Perfect product! quality is very good
"Good nothing special, just ok product"
Classy product good
Just wow! ameging
Could be way better not bat
Mind-blowing purchase Small in size & easy to use. .......
Fair amazing great product
Delightful good
